#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
1.0	China	120504	3602	4636 		103884	149	11984	8	84	3	160000000	111163	1439323776 	Asia
2.0	USA	81244936	25359	992302 	901	56456450	174444	23796184	3726	243030	2968	967406638	2893828	334300023 	North America
3.0	India	42998646	2584	516103 	98	42446171		36372	8944	30647	368	779754156	555756	1403050615 	Asia
4.0	Brazil	29432274	50078	655649  	323	27968811	130018	807814	8318	136814	3048	63776166	296459	215126183 	South America
5.0	France	23649615	116618	140440 	146	22327945	66648	1181230	1855	360959	2144	246629975	3764257	65518893 	Europe
6.0	UK	19820181	52822	163095 	200	18429633	51258	1227453	253	289380	2381	489876300	7152332	68491825 	Europe
7.0	Germany	17567738	225387	126532 	287	13714200	212800	3727006	2494	208546	1502	104701826	1242913	84239076 	Europe
8.0	Russia	17412919	36678	361902 	558	15704022	118372	1346995	2300	119233	2478	273400000	1872080	146040773 	Europe
9.0	Turkey	14600683	24614	96735 	115	14213445	30553	290503	975	170012	1126	149168647	1736932	85880558 	Asia
10.0	Italy	13489319	85288	157177 	180	12296018	53349	1036124	502	223663	2606	193352508	3205936	60310783 	Europe
11.0	Spain	11260040	9015	101416 	71	10502784	48933	655840	682	240673	2168	471036328	10067988	46785545 	Europe
12.0	Argentina	8981155	5076	127295 	38	8787789	4214	66071	761	195667	2773	34877407	759852	45900252 	South America
13.0	Netherlands	7266972	52897	21725 	12	5712759	60151	1532488	157	422516	1263	21107399	1227226	17199283 	Europe
14.0	S. Korea	7228550	362328	10888 	293				1196	140786	212	15804065	307807	51344146 	Asia
15.0	Iran	7130129	3223	139180 	117	6791854	5921	199095	2531	83083	1622	48393373	563901	85818859 	Asia
16.0	Vietnam	6552918	175480	41545 	68	3383142	111164	3128231	4269	66307	420	81738760	827095	98826293 	Asia
17.0	Colombia	6077861	573	139335 	20	5909782	613	28744	342	117324	2690	33566181	647945	51804094 	South America
18.0	Indonesia	5914532	14408	152745 	308	5462344	27615	299443	2771	21242	549	89512643	321483	278436451 	Asia
19.0	Poland	5836672	12695	113622 	178	5199156	9060	523894	482	154507	3008	34681947	918090	37776189 	Europe
20.0	Japan	5808242	35846	26262 	108	5227335	59558	554645	1170	46164	209	41189103	327369	125818680 	Asia
21.0	Mexico	5607845	1018	321115 	12	4900680	3525	386050	4798	42732	2447	15355108	117006	131233677 	North America
22.0	Ukraine	4912528	6120	107269 	85				177	113486	2478	19521252	450968	43287399 	Europe
23.0	Malaysia	3872135	26534	33994 	95	3533994	31234	304147	376	117088	1028	52598004	1590490	33070305 	Asia
24.0	Israel	3732586	7172	10399 	7	3681263	6153	40924	306	400234	1115	41373364	4436346	9326000 	Asia
25.0	Czechia	3696837	10829	39216 	20	3588815	7992	68806	116	344124	3650	53125897	4945286	10742734 	Europe
26.0	South Africa	3696823	1648	99727 	2	3578877	1539	18219	546	61025	1646	23452959	387148	60578717 	Africa
27.0	Philippines	3671293		57625 		3567412		46256	289	32762	514	28545001	254734	112058146 	Asia
28.0	Belgium	3658084	3417	30445 	11	3402134	26703	225505	185	313318	2608	32189080	2757021	11675311 	Europe
29.0	Australia	3656931	34047	5616 	25	3346229		305086	105	140638	216	64784755	2491490	26002413 	Australia/Oceania
30.0	Peru	3537488	646	211619 	40				658	104809	6270	28001696	829633	33751895 	South America
31.0	Portugal	3380263		21285 		2876177		482801	70	333156	2098	37805639	3726089	10146199 	Europe
32.0	Canada	3373776	4274	36993 	49	3222524	4186	114259	510	88078	966	58805098	1535210	38304275 	North America
33.0	Chile	3323324	8716	44039 	34	2580632	38122	698653	931	171350	2271	34210544	1763890	19394942 	South America
34.0	Thailand	3226697	19742	23851 	70	2981413	24125	221433	687	46032	340	17270775	246382	70097534 	Asia
35.0	Austria	3225272	37125	15261 	40	2816416	31420	393595	219	354671	1678	167268269	18393867	9093698 	Europe
36.0	Switzerland	3156380	21296	13425 	3	2555555	13444	587400	143	360229	1532	19474998	2222631	8762139 	Europe
37.0	Denmark	2826404	9420	5232 	36	2646071	17487	175101	26	485065	898	126352755	21684555	5826855 	Europe
38.0	Romania	2798935	4854	64450 	60	2606660		127825	542	147160	3389	21607053	1136037	19019674 	Europe
39.0	Greece	2684916	26620	26686 	51	2443577	15710	214653	358	259749	2582	69719530	6744945	10336560 	Europe
40.0	Sweden	2470254		17841 		2389295	3918	63118	39	242034	1748	18342988	1797232	10206244 	Europe
41.0	Iraq	2313943	573	25109 	4	2268769	1346	20065	72	55418	601	18175523	435293	41754655 	Asia
42.0	Bangladesh	1949942	217	29112 		1864408	1600	56422	1264	11643	174	13665453	81596	167476391 	Asia
43.0	Serbia	1945142	2415	15619 	15	1887890	3184	41633	66	224157	1800	8956349	1032125	8677580 	Europe
44.0	Hungary	1814362		44653 		1650643		119066	109	188629	4642	10921558	1135453	9618677 	Europe
45.0	Jordan	1680179		13959 		1647266		18954	694	161942	1345	16499905	1590323	10375188 	Asia
46.0	Georgia	1637691	1716	16585 	16	1590380	1551	30726		411878	4171	16099446	4048996	3976158 	Asia
47.0	Slovakia	1586140	9654	18979 	29	1439179	11175	127982	217	290282	3473	6634177	1214131	5464135 	Europe
48.0	Pakistan	1519627	473	30313 	4	1471288	466	18026	560	6660	133	26963417	118170	228174493 	Asia
49.0	Norway	1363406	6126	1753 		88952		1272701	29	248197	319	9852076	1793487	5493251 	Europe
50.0	Ireland	1360015	6282	6636 	12	1245453	4318	107926	42	270302	1319	11546772	2294910	5031471 	Europe
51.0	Kazakhstan	1304560	54	13648 		1281862	958	9050	528	68094	712	11575012	604181	19158177 	Asia
52.0	Morocco	1162236	111	16046 	3	1145486	148	704	293	30867	426	11237010	298431	37653636 	Africa
53.0	Bulgaria	1117525	2393	36196 	34	885909	3260	195420	288	162914	5277	9406028	1371224	6859586 	Europe
54.0	Lebanon	1085846	614	10219 	8	1006268	4435	69359	186	160308	1509	4795578	707989	6773518 	Asia
55.0	Cuba	1077966	561	8503 		1066760	610	2703	23	95270	751	12920253	1141882	11314871 	North America
56.0	Croatia	1074706	1179	15373 	19	1050939	1263	8394	47	264559	3784	4591099	1130184	4062258 	Europe
57.0	Tunisia	1029762		28065 		983630		18067	74	85609	2333	4475031	372030	12028676 	Africa
58.0	Nepal	978044	57	11950 		961348	130	4746	100	32573	398	5492019	182905	30026627 	Asia
59.0	Lithuania	968723	4508	8659 	9	887641	9113	72423	63	364487	3258	7907132	2975102	2657768 	Europe
60.0	Singapore	964329	15851	1159 	6	921236	12945	41934	23	162660	195	23315251	3932739	5928502 	Asia
61.0	Belarus	943027	693	6681 	11	928536		7810		99854	707	12651102	1339586	9444042 	Europe
62.0	Slovenia	923011	4201	6419 	4	888975	2553	27617	65	443878	3087	2591452	1246236	2079423 	Europe
63.0	Bolivia	897970	481	21475 	2	810015	1387	66480	220	75185	1798	2682016	224560	11943446 	South America
64.0	UAE	885983	280	2302 		851918	947	31763		87779	228	143122412	14179851	10093365 	Asia
65.0	Uruguay	867282	1638	7110 	7	850698	1731	9474	65	248207	2035	5834665	1669823	3494182 	South America
66.0	Ecuador	849699		35348 					759	46950	1953	2470170	136488	18098018 	South America
67.0	Costa Rica	826251	1093	8192 	6	739726	6062	78333	94	159720	1584	3854668	745132	5173135 	North America
68.0	Guatemala	807453	2060	17170 	11	768454	3149	21829	5	43697	929	4085376	221091	18478264 	North America
69.0	Azerbaijan	790962	142	9627 	9	779828	243	1507		76834	935	6640773	645085	10294416 	Asia
70.0	Finland	767220	6110	2719 	2	46000		718501	42	138105	489	10162649	1829347	5555343 	Europe
71.0	Hong Kong	761550	27765	4568 	289	13232		743750	111	100200	601	36260319	4770905	7600302 	Asia
72.0	Panama	760105	323	8143 	3	749576	354	2386	16	171577	1838	5603325	1264828	4430110 	North America
73.0	Latvia	750683	6250	5450 	6	647896	3607	97337	41	405605	2945	6924994	3741677	1850773 	Europe
74.0	Saudi Arabia	749044	129	9021 	1	731219	215	8804	256	20961	252	41284790	1155318	35734581 	Asia
75.0	Sri Lanka	656814	428	16415 	8	619073	112	21326		30456	761	6368159	295290	21565778 	Asia
76.0	Paraguay	646283	229	18552 	4	621240	408	6491	77	88759	2548	2561955	351852	7281345 	South America
77.0	Kuwait	626384	270	2552 		620141	469	3691	9	143081	583	7763313	1773325	4377828 	Asia
78.0	Myanmar	606910	683	19414 	3	559673	937	27823		11029	353	7422318	134879	55029436 	Asia
79.0	Palestine	579923		5321 		570740		3862	58	109363	1003	3078533	580558	5302711 	Asia
80.0	Dominican Republic	576788	90	4374 		572028	131	386	23	52280	396	3174924	287774	11032690 	North America
81.0	Bahrain	539988	1194	1464 	1	526515	1731	12009	8	299676	812	9516707	5281464	1801907 	Asia
82.0	Estonia	534788	2706	2367 	8	433572	1178	98849	19	402686	1782	3183507	2397127	1328051 	Europe
83.0	Venezuela	518460		5659 		509750		3051	230	18321	200	3359014	118697	28299060 	South America
84.0	Moldova	508578	343	11357 	7	491634	641	5587	87	126574	2827	3094224	770084	4018035 	Europe
85.0	Libya	500497	193	6354 	4	484591	636	9552	119	71195	904	2457789	349615	7029980 	Africa
86.0	Egypt	495373		24277 		424831		46265	122	4691	230	3693367	34971	105611495 	Africa
87.0	Ethiopia	469291	69	7486 		421500	15	40305	50	3917	62	4576756	38204	119796872 	Africa
88.0	Mongolia	467100	97	2177 		313256		151667	192	138690	646	4030048	1196592	3367939 	Asia
89.0	Armenia	422076	55	8579 	3	408799	237	4698		141986	2886	2938644	988560	2972652 	Asia
90.0	Honduras	417201	472	10842 	8	131100		275259	105	41014	1066	1263329	124195	10172115 	North America
91.0	New Zealand	399342	21657	102 		205975	18859	193265		79835	20	6842694	1367964	5002100 	Australia/Oceania
92.0	Oman	386829	183	4250 		379788	225	2791	19	72616	798	25000000	4693028	5327051 	Asia
93.0	Bosnia and Herzegovina	373506	147	15641 	6	192218		165647		115061	4818	1725264	531480	3246150 	Europe
94.0	Cyprus	360078	3294	904 	2	124370		234804	60	294593	740	9477138	7753598	1222289 	Asia
95.0	Qatar	359361	102	677 		357549	158	1135	3	127986	241	3395654	1209362	2807805  	Asia
96.0	Kenya	323204	9	5647 	1	317503	12	54	1	5794	101	3448106	61814	55781934 	Africa
97.0	Réunion	318695	8514	689 	9	306072	7990	11934	41	351696	760	1535875	1694916	906166 	Africa
98.0	Zambia	315202		3960 		309765		1477	3	16368	206	3310740	171918	19257651 	Africa
99.0	North Macedonia	301895	312	9155 	5	290617		2123		144917	4395	1904444	914179	2083229 	Europe
100.0	Albania	272711	22	3486 	1	268563	152	662	13	94940	1214	1761701	613308	2872459 	Europe
101.0	Algeria	265478	21	6868 	2	178094	21	80516	6	5874	152	230861	5108	45195539 	Africa
102.0	Botswana	263950		2619 		259434		1897	1	108521	1077	2026898	833347	2432239 	Africa
103.0	Nigeria	255001		3142 		249373		2486	11	1187	15	4589725	21366	214811319 	Africa
104.0	Zimbabwe	242909		5416 		232425		5068	12	15949	356	2137216	140326	15230365 	Africa
105.0	Uzbekistan	237281	21	1637 		234720	51	924	23	6919	48	1377915	40181	34292965 	Asia
106.0	Montenegro	231719	106	2695 	2	228257	110	767	60	368861	4290	1190834	1895626	628201 	Europe
107.0	Mozambique	225188	9	2198 		221989	17	1001	13	6878	67	1285237	39254	32741418 	Africa
108.0	Kyrgyzstan	200758	16	2974 	1	195916	43	1868	131	29933	443	1907195	284360	6706976 	Asia
109.0	Luxembourg	194846	907	1007 	1	182044	17	11795	3	302898	1565	4107467	6385272	643272 	Europe
110.0	Afghanistan	176571	108	7646 	1	158917	262	10008	1124	4369	189	906639	22432	40416563 	Asia
111.0	Maldives	174658		297 		163687		10674	25	313733	533	2213831	3976640	556709 	Asia
112.0	Iceland	165299	2361	83  	2	75685		89531	6	479121	241	1835985	5321619	345005 	Europe
113.0	Uganda	163530	13	3594 		100123	6	59813	11	3393	75	2506821	52018	48191869 	Africa
114.0	Ghana	160761	45	1445 		159227	115	89	1	4997	45	2376530	73865	32174072 	Africa
115.0	Namibia	157458	20	4014 		155293	2224	-1849	1	60121	1533	969833	370301	2619037 	Africa
116.0	El Salvador	156364		4102 	1	132410		19852	153	23902	627	1758939	268877	6541804 	North America
117.0	Laos	147409	722	643 	1	7660		139106		19774	86	1002806	134517	7454855 	Asia
118.0	Martinique	135881	9660	905 	5	104		134872	8	362571	2415	777358	2074221	374771 	North America
119.0	Cambodia	134352	139	3048 	1	129717	425	1587		7851	178	2900473	169500	17111927 	Asia
120.0	Trinidad and Tobago	133393	242	3690 	4	116951	1439	12752	18	94794	2622	651489	462973	1407187 	North America
