#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent
1	USA	49,584,003	+131,460	805,134	+1,658	39,318,563	+81,829	9,460,306	13,343	148,564	2,412	755,685,902	2,264,195	333,754,810	North America
2	India	34,606,541	+9,765	469,724	+477	34,028,506	+10,207	108,311	8,944	24,732	336	642,412,315	459,117	1,399,235,464	Asia
3	Brazil	22,105,872	+11,413	615,020	+266	21,339,118	+17,487	151,734	8,318	102,961	2,865	63,776,166	297,046	214,701,617	South America
4	UK	10,275,129	+48,081	145,140	+171	9,095,983	+33,422	1,034,006	916	150,239	2,122	363,637,864	5,316,990	68,391,673	Europe
5	Russia	9,669,718	+32,837	276,419	+1,226	8,364,932	+35,679	1,028,367	2,300	66,220	1,893	225,500,000	1,544,275	146,023,223	Europe
6	Turkey	8,818,144	+22,556	77,038	+196	8,350,494	+24,113	390,612	1,405	102,985	900	108,036,172	1,261,732	85,625,303	Asia
7	France	7,725,114	+49,610	119,227	+96	7,137,512	+12,488	468,375	1,886	117,980	1,821	162,981,031	2,489,082	65,478,363	Europe
8	Iran	6,121,757	+4,312	129,912	+82	5,892,574	+9,104	99,271	4,312	71,586	1,519	38,439,240	449,496	85,516,321	Asia
9	Germany	5,953,310	+71,887	102,552	+415	4,937,600	+44,300	913,158	4,636	70,735	1,218	83,816,414	995,872	84,163,880	Europe
10	Argentina	5,332,629	+1,881	116,597	+8	5,194,780	+1,089	21,252	632	116,475	2,547	26,260,861	573,586	45,783,654	South America
11	Spain	5,174,720	+10,536	88,080	+28	4,924,551	+1,411	162,089	741	110,617	1,883	66,213,858	1,415,417	46,780,466	Europe
12	Colombia	5,071,817	+2,173	128,586	+58	4,911,593	+2,021	31,638	342	98,193	2,489	28,160,705	545,205	51,651,557	South America
13	Italy	5,043,624	+15,089	133,931	+93	4,709,906	+9,457	199,787	686	83,593	2,220	119,905,510	1,987,306	60,335,704	Europe
14	Indonesia	4,256,687	+278	143,840	+10	4,104,964	+307	7,883		15,333	518	54,746,617	197,198	277,622,982	Asia
15	Mexico	3,887,873	+3,307	294,246	+296	3,245,219	+2,272	348,408	4,798	29,712	2,249	11,861,186	90,645	130,852,697	North America
16	Poland	3,569,135	+29,062	84,154	+571	3,048,528	+10,077	436,453	1,870	94,452	2,227	24,433,048	646,585	37,787,809	Europe
17	Ukraine	3,450,341	+11,960	86,532	+557	2,972,192	+26,160	391,617	177	79,573	1,996	15,917,165	367,085	43,360,950	Europe
18	South Africa	2,976,613	+8,561	89,871	+28	2,850,142	+584	36,600	546	49,308	1,489	19,529,031	323,498	60,368,296	Africa
19	Philippines	2,832,909	+371	48,712	+167	2,768,839	+791	15,358	1,023	25,374	436	24,238,501	217,098	111,647,653	Asia
20	Netherlands	2,661,691	+18,515	19,459	+45	2,120,332	+7,629	521,900	605	154,852	1,132	19,205,114	1,117,314	17,188,644	Europe
21	Malaysia	2,638,221	+5,439	30,474	+49	2,544,007	+6,803	63,740	500	80,059	925	37,882,464	1,149,570	32,953,607	Asia
22	Peru	2,237,842	+1,491	201,209	+33	N/A	N/A	N/A	978	66,558	5,984	20,363,118	605,638	33,622,605	South America
23	Czechia	2,172,256	+21,988	33,271	+114	1,872,317	+601	266,668	1,069	202,312	3,099	43,809,304	4,080,158	10,737,159	Europe
24	Thailand	2,120,758	+4,886	20,812	+43	2,025,754	+6,326	74,192	1,369	30,276	297	14,913,135	212,898	70,048,383	Asia
25	Iraq	2,082,061	+889	23,844	+24	2,046,224	+1,203	11,993	103	50,170	575	16,363,328	394,297	41,500,033	Asia
26	Canada	1,795,629	+3,129	29,714	+27	1,739,899	+2,643	26,016	497	46,992	778	48,895,595	1,279,613	38,211,249	North America
27	Romania	1,780,808	+1,141	56,649	+79	1,689,184	+2,432	34,975	1,121	93,453	2,973	16,037,036	841,592	19,055,592	Europe
